id,name,description,price,priceRange,lat,lng,notes,category,googleMapsUrl,video
26,YUKI Uluwatu,Modern Japanese restaurant and social dining venue,,0,-8.8170910,115.0939776,,Food,https://www.google.com/maps/search/YUKI+Uluwatu,
27,STOCKxSNEAKERS.ID,Sneaker shopping stop in Bali,,0,-8.6850447,115.2127894,,Sights,https://www.google.com/maps/search/STOCKxSNEAKERS.ID+Bali,
28,KAFE UBUD,Well-known healthy café in central Ubud,,0,,,,Drinks,https://www.google.com/maps/search/KAFE+UBUD+Ubud,
29,FRIENDS CAFE,Casual coffee stop in Ubud,,0,,,,Drinks,https://www.google.com/maps/search/FRIENDS+CAFE+Ubud,
30,CLOVER CAFE,Coffee and brunch café in Ubud,,0,,,,Drinks,https://www.google.com/maps/search/CLOVER+CAFE+Ubud,
31,SUKA ESPRESSO,Coffee and breakfast café in Ubud,,0,,,,Drinks,https://www.google.com/maps/search/SUKA+ESPRESSO+Ubud,
32,MAMU GARDEN,Garden-style café in Ubud,,0,,,,Drinks,https://www.google.com/maps/search/MAMU+GARDEN+Ubud,
33,BEE CAFE,Coffee stop in Ubud,,0,,,,Drinks,https://www.google.com/maps/search/BEE+CAFE+Ubud,
34,NAMASKARA,Café spot in Ubud,,0,,,,Drinks,https://www.google.com/maps/search/NAMASKARA+Ubud,
35,IVY CAFE,Café and light food stop in Ubud,,0,,,,Drinks,https://www.google.com/maps/search/IVY+CAFE+Ubud,
36,MELALI,Coffee stop in Ubud,,0,,,,Drinks,https://www.google.com/maps/search/MELALI+Ubud,
37,TUJU Tropic Club & Dining Ubud,Tropical club-style restaurant and pool venue in Ubud,,0,-8.4979938,115.2652663,Nice restaurant.,Food,https://www.google.com/maps/search/TUJU+Tropic+Club+Dining+Ubud,
38,The Jungle Club Ubud,Day club and dining spot with jungle views,,0,-8.5921987,115.2688169,Nice restaurant.,Sights,https://www.google.com/maps/search/The+Jungle+Club+Ubud,
39,Tibumana Waterfall,Scenic jungle waterfall east of Ubud,,0,-8.5111530,115.3225750,Best paired with Kanto Lampo on a car tour.,Sights,https://www.google.com/maps/search/Tibumana+Waterfall+Bali,
40,Garuda Wisnu Kencana Cultural Park,Large cultural park with monumental statue and sunset views,,0,-8.8101330,115.1672740,Best final stop before Uluwatu drop-off.,Sights,https://www.google.com/maps/search/Garuda+Wisnu+Kencana+Cultural+Park,
41,Sundays Beach Club,Private-access beach club with afternoon and sunset vibe,,0,-8.8413220,115.1370710,Best in the afternoon into sunset.,Sights,https://www.google.com/maps/search/Sundays+Beach+Club+Bali,
42,Savaya Bali,High-end cliffside beach club and nightlife venue,,0,-8.8470330,115.1542200,Best booked in advance for evening events.,Sights,https://www.google.com/maps/search/Savaya+Bali,
43,Buana Driver Bali,Private driver contact for Bali day tours,,0,,,,Service provider rather than a place.,Sights,,
44,Kaamala Resort & Spa Ubud,Boutique resort and spa in the Ubud jungle,,0,-8.5162845,115.2559374,,Stay,https://www.google.com/maps/place/Kaamala+Resort+%26+Spa+Ubud+by+iNi+Vie+Hospitality/@-8.5162792,115.2533625,17z/data=!4m11!3m10!1s0x2dd23d9efd543713:0xf8adf658c4f0fc16!5m4!1s2026-04-07!2i3!4m1!1i2!8m2!3d-8.5162845!4d115.2559374!16s%2Fg%2F11fq8xyt9h?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D,
45,Dolce x The Young Villas,Private villa stay in Uluwatu,,0,-8.811818,115.1228975,,Stay,https://www.google.com/maps/place/Dolce+x+The+Young+Villas/@-8.8184047,115.1070568,4551m/data=!3m1!1e3!4m11!3m10!1s0x2dd245c8df25f319:0x8e06a4d1aa987cc7!5m4!1s2026-04-07!2i3!4m1!1i2!8m2!3d-8.811818!4d115.1228975!16s%2Fg%2F11vybb_0b2?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D,
