id,name,description,price,priceRange,lat,lng,notes,category,googleMapsUrl,video
12,Ah Tai Hainanese Chicken Rice,Popular Maxwell alternative for Hainanese chicken rice,~S$5-10 pp,1,1.2804283,103.8447683,Good Maxwell alternative to Tian Tian.,Restaurant,"https://www.google.com/maps/place/Ah+Tai+Hainanese+Chicken+Rice/@1.2804528,103.8422184,17z/data=!3m1!5s0x31da190c599ca241:0xd9ea0b055fd569f8!4m6!3m5!1s0x31da194e4addc501:0xe9051d8b0ef4c1a1!8m2!3d1.2804283!4d103.8447683!16s%2Fg%2F11b8v6rtl3?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@shaunbirley/video/7598301251930967304
13,Samy's Curry Restaurant,"Institution for South Indian curry meals, often served on banana leaf",~S$15-30 pp,2,1.3061228,103.8117619,Classic curry house.,Restaurant,"https://www.google.com/maps/place/Samy's+Curry+Restaurant/@1.3061228,103.8091816,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a22e7e03467:0x553882cb3157d536!8m2!3d1.3061228!4d103.8117619!16s%2Fg%2F1wk6x8t1?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@shaunbirley/video/7598301251930967304
14,Green Heart,Lush indoor-outdoor garden courtyard at Marina One,Free,0,1.2772171,103.8530426,"Really nice garden; good light stop, not a full attraction.",Attraction,"https://www.google.com/maps/place/Green+Heart/@1.2772171,103.8504623,17z/data=!3m1!4b1!4m6!3m5!1s0x31da197cb65159a9:0x5c996bd14872b9cb!8m2!3d1.2772171!4d103.8530426!16s%2Fg%2F11nxrj1shn?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@voyagewithmc/video/7595612682112371988
15,Incloud Teahouse,Modern tea spot for a calm drink break,~S$8-20 pp,2,1.29993,103.8500993,Tea/coffee stop.,Coffee,"https://www.google.com/maps/place/Incloud%E5%B7%B7%E4%BA%91%E7%AB%AF/@1.29993,103.847519,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19003391adb1:0x3abb9f2adf35789f!8m2!3d1.29993!4d103.8500993!16s%2Fg%2F11x5rf8jvp?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@travelwithserene/video/7592612729995660564
16,Tiong Bahru Bakery,"Popular bakery cafe for breakfast, pastries and coffee",~S$8-20 pp,2,1.284454,103.8336531,Good breakfast stop.,Coffee,"https://www.google.com/maps/place/Tiong+Bahru+Bakery/@1.2831212,103.8309008,15.18z/data=!3m1!5s0x31da1970adf16af1:0x6a10ab9cdb3ca1a!4m6!3m5!1s0x31da1970ae6ce3fb:0x4ae9769058ba1cf9!8m2!3d1.284454!4d103.8336531!16s%2Fg%2F12hlzynfc?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@aidenandmaddy/video/7596293287426772232
17,Yunomori Onsen & Spa,Japanese-style onsen and spa for a slow wellness half-day,From ~S$46,3,1.3035424,103.8726529,Best used as a half-day spa stop.,Spa,"https://www.google.com/maps/place/Yunomori+Onsen+%26+Spa/@1.3035424,103.8700726,17z/data=!3m2!4b1!5s0x31da18494cf47473:0xb825fcec47c23b35!4m6!3m5!1s0x31da1849669a11e3:0x9e3f2457ceeb59cf!8m2!3d1.3035424!4d103.8726529!16s%2Fg%2F11bz07g_8f?entry=ttu&g_ep=EgoyMDI2MDIxNi4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@immikeyu/video/7569896781018893588
18,Garden by the Bay Light Show Spot,Best area to catch the Supertree light show in the gardens,Free,0,1.2815683,103.8636132,Best view for the evening light show.,Attraction,"https://www.google.com/maps/place/Gardens+by+the+Bay/@1.2848699,103.8661561,17z/data=!3m1!5s0x3e5b663b6b3d3ab3:0xefe1ddd0dd3445e9!4m10!1m2!2m1!1sgarden+by+the+bay+singapore!3m6!1s0x31da1904937e1633:0x62099677b59fca76!8m2!3d1.2815683!4d103.8636132!15sChtnYXJkZW4gYnkgdGhlIGJheSBzaW5nYXBvcmVaHSIbZ2FyZGVuIGJ5IHRoZSBiYXkgc2luZ2Fwb3JlkgEGZ2FyZGVu4AEA!16zL20vMGIwaGI1?entry=ttu&g_ep=EgoyMDI2MDIxNy4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@theendlesstravellers/video/7559767762524998934
19,Yat Ka Yan Dessert (Fortune Centre),Dessert shop for Hong Kong-style sweets and after-dinner stop,~S$5-12 pp,1,1.3006463,103.8519965,Dessert stop.,Desserts,"https://www.google.com/maps/place/Yat+Ka+Yan+Dessert+(Fortune+Centre)/@1.3006517,103.8494162,17z/data=!3m1!5s0x31da18491d4e4013:0x18626a2bebe4af71!4m8!3m7!1s0x31da19802eb12913:0x64c61a14b7414b6f!8m2!3d1.3006463!4d103.8519965!9m1!1b1!16s%2Fg%2F11h3q6yb1r?entry=ttu&g_ep=EgoyMDI2MDIxNy4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@izzyfooddiaries/video/7562517233948249351?_r=1&_t=ZN-92Spqt3JTUc
20,ICE&TIME,Dessert spot known for kakigori and icy sweets,~S$5-12 pp,1,1.2780828,103.8420739,Good for shaved ice / kakigori.,Desserts,"https://www.google.com/maps/place/ICE%26TIME+%7C+%E5%86%B0%E8%AF%AD%E6%97%B6%E5%85%89+(Best+Kakigori)/@1.2780882,103.8394936,17z/data=!3m1!4b1!4m6!3m5!1s0x31da195da42901f1:0x69a45d6039dd006a!8m2!3d1.2780828!4d103.8420739!16s%2Fg%2F11lp005_96?entry=ttu&g_ep=EgoyMDI2MDIxNy4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@nom_life/video/7562047560408370463?_r=1&_t=ZN-92SbhAOsl6M
21,Un-Yang-Kor-Dai Singapore,Dessert/cafe stop for Thai-style sweets and drinks,~S$5-12 pp,1,1.287117,103.848241,Dessert stop.,Desserts,"https://google.com/maps/place/Un-Yang-Kor-Dai+Singapore/@1.2780882,103.8394936,17z/data=!4m6!3m5!1s0x31da190a51091b4d:0x7ee7e2e29f78d746!8m2!3d1.287117!4d103.848241!16s%2Fg%2F11gfmfkd3p?entry=ttu&g_ep=EgoyMDI2MDIxNy4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@nom_life/video/7562047560408370463?_r=1&_t=ZN-92SbhAOsl6M
22,75 Ah Balling Peanut Soup (Chinatown),Traditional dessert stall for peanut soup and local sweets,~S$3-8 pp,1,1.2825494,103.8430883,Try the peanut soup.,Desserts,"https://www.google.com/maps/place/75+Ah+Balling+Peanut+Soup+(Chinatown)/@1.2819854,103.8423607,18.59z/data=!3m1!5s0x31da190a415afa81:0x6b56a9d1ef11cf78!4m15!1m8!3m7!1s0x31da197319974719:0xf3ecb6d593e84bb0!2s335+Smith+St,+Singapore+050335!3b1!8m2!3d1.2819435!4d103.8433995!16s%2Fg%2F11c6dff90_!3m5!1s0x31da196e771d9c35:0xc64a98cef9baaa10!8m2!3d1.2825494!4d103.8430883!16s%2Fg%2F11jq08fny4?entry=ttu&g_ep=EgoyMDI2MDIxNy4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@nom_life/video/7562047560408370463?_r=1&_t=ZN-92SbhAOsl6M
23,Spot for Pictures at the Trees,Photo spot around the Supertrees in Gardens by the Bay,Free,0,1.2815683,103.8636132,Good dedicated photo stop around the Supertree area.,Attraction,"https://www.google.com/maps/place/Gardens+by+the+Bay/@1.2848699,103.8661561,17z/data=!3m1!5s0x3e5b663b6b3d3ab3:0xefe1ddd0dd3445e9!4m10!1m2!2m1!1sgarden+by+the+bay+singapore!3m6!1s0x31da1904937e1633:0x62099677b59fca76!8m2!3d1.2815683!4d103.8636132!15sChtnYXJkZW4gYnkgdGhlIGJheSBzaW5nYXBvcmVaHSIbZ2FyZGVuIGJ5IHRoZSBiYXkgc2luZ2Fwb3JlkgEGZ2FyZGVu4AEA!16zL20vMGIwaGI1?entry=ttu&g_ep=EgoyMDI2MDIxNy4wIKXMDSoASAFQAw%3D%3D",https://www.tiktok.com/@swizzyinsg/video/7577648051330764039?_r=1&_t=ZN-92QvDsxkGda
24,The Robertson House by The Crest Collection,Our house,Home,3,1.2900,103.8410,Good base for Chinatown / Marina Bay / airport transfer days,Hotel,https://www.google.com/maps/search/The+Robertson+House+by+The+Crest+Collection+Singapore
25,Flower Dome,Garden,~S$10-15 pp,0,1.284800815886525,103.86466531340075,Gigantic air-conditioned glass greenhouse,Attraction,"https://www.google.com/maps/place/Flower+Dome/@1.2846346,103.8621226,17z/data=!4m14!1m7!3m6!1s0x31da19017bef8a3d:0x280e9c55b573ea2b!2sFlower+Dome!8m2!3d1.2846292!4d103.8646975!16s%2Fg%2F11bwnydz6q!3m5!1s0x31da19017bef8a3d:0x280e9c55b573ea2b!8m2!3d1.2846292!4d103.8646975!16s%2Fg%2F11bwnydz6q?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D"
